customer_id,first_name,last_name,address,email,phone_number
1,James,Smith,Illinois,jsmith1@customer.com,555-190-3233
2,James,Johnson,Illinois,jjohnson2@customer.com,555-525-8357
3,James,Williams,Illinois,jwilliams3@customer.com,555-933-4447
4,James,Brown,Illinois,jbrown4@customer.com,555-897-0326
5,James,Jones,Illinois,jjones5@customer.com,555-762-5836
6,James,Garcia,Illinois,jgarcia6@customer.com,555-582-5709
7,James,Miller,Illinois,jmiller7@customer.com,555-195-1985
8,James,Davis,Illinois,jdavis8@customer.com,555-416-2205
9,James,Rodriguez,Illinois,jrodriguez9@customer.com,555-880-8679
10,James,Martinez,Illinois,jmartinez10@customer.com,555-283-4564
11,James,Hernandez,Illinois,jhernandez11@customer.com,555-279-8494
12,James,Lopez,Illinois,jlopez12@customer.com,555-284-2248
13,James,Gonzalez,Illinois,jgonzalez13@customer.com,555-224-3907
14,James,Wilson,Illinois,jwilson14@customer.com,555-651-0888
15,James,Anderson,Illinois,janderson15@customer.com,555-928-1269
16,James,Thomas,Illinois,jthomas16@customer.com,555-764-7525
17,James,Taylor,Illinois,jtaylor17@customer.com,555-432-3796
18,James,Moore,Illinois,jmoore18@customer.com,555-585-8964
19,James,Jackson,Illinois,jjackson19@customer.com,555-981-0349
20,James,Martin,Illinois,jmartin20@customer.com,555-648-6689
21,James,Peter,Illinois,jpeter21@customer.com,555-298-7370
22,James,Victoria,Illinois,jvictoria22@customer.com,555-777-8852
23,James,Raymond,Illinois,jraymond23@customer.com,555-453-6709
24,James,Julia,Illinois,jjulia24@customer.com,555-366-5637
25,James,Scott,Illinois,jscott25@customer.com,555-181-1932
26,James,Grace,Illinois,jgrace26@customer.com,555-019-0071
27,James,Dennis,Illinois,jdennis27@customer.com,555-137-9377
28,James,Evelyn,Illinois,jevelyn28@customer.com,555-069-0197
29,James,Gregory,Illinois,jgregory29@customer.com,555-887-3481
30,James,Anna,Illinois,janna30@customer.com,555-563-7565
31,James,Walter,Illinois,jwalter31@customer.com,555-033-4018
32,James,Rose,Illinois,jrose32@customer.com,555-244-5569
33,James,Patrick,Illinois,jpatrick33@customer.com,555-666-4228
34,James,Judith,Illinois,jjudith34@customer.com,555-779-8995
35,James,Henry,Illinois,jhenry35@customer.com,555-150-0658
36,James,Christina,Illinois,jchristina36@customer.com,555-589-6120
37,James,Douglas,Illinois,jdouglas37@customer.com,555-318-4273
38,James,Maria,Illinois,jmaria38@customer.com,555-479-9998
39,James,Harold,Illinois,jharold39@customer.com,555-535-1841
40,James,Nicole,Illinois,jnicole40@customer.com,555-386-3801
41,James,Alexander,Illinois,jalexander41@customer.com,555-334-9898
42,James,Megan,Illinois,jmegan42@customer.com,555-923-9373
43,James,Samuel,Illinois,jsamuel43@customer.com,555-963-8196
44,James,Dorothy,Illinois,jdorothy44@customer.com,555-967-4371
45,James,Frank,Illinois,jfrank45@customer.com,555-004-8102
46,James,Sophia,Illinois,jsophia46@customer.com,555-596-0484
